Ticker,Name,Modified,AsOfDate,Sector,SubSector,AnalystRecommendationValue,Interpretation,FactorScore,RevenueGrowth,RevenueGrowthPoints,BalanceSheetStrength,BalanceSheetStrengthPoints,ProfitabilityTrend,ProfitabilityTrendPoints,FCFGenerationCapitalIntensity,FCFGenerationCapitalIntensityPoints,RegulatoryEnvironment,RegulatoryEnvironmentPoints,Cyclicality,CyclicalityPoints,MarketPosition,MarketPositionPoints,ESG,ESGPoints,QualityOfManagement,QualityOfManagementPoints,AccessToCapital,AccessToCapitalPoints,FundScore,FundPoints,EventRisk,EventRiskPoints,ExpectedIssuance,ExpectedIssuancePoints,RatingsOutlook,RatingsOutlookPoints,Volatility,VolatilityPoints,CreditRisk,CreditRiskPoints,SecondaryLiquidity,SecondaryLiquidityPoints,TechScore,TechPoints,SpreadPerUnitOfRisk,SpreadPerUnitOfRiskPoints,PercentileSpreadVsCorpIndex,PercentileSpreadVsCorpIndexPoints,SpreadToEvent,SpreadToEventPoints,RelativeToBroadSector,RelativeToBroadSectorPoints,RelativeToIndustry,RelativeToIndustryPoints,ValScore,ValPoints
ABIBB,Anheuser-Busch InBev,3/31/2018 23:00,3/2/2018 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,61.3,5,0.5,2,0.2,6,0.6,8,0.8,5,0.5,7,0.7,10,1,9,0.9,7,0.7,8,0.8,26.8,67,6,1.5,4,0.6,4,0.6,3,0.45,5,0.75,8,1.2,15.3,51,6,1.2,4,0.8,6,2.4,10,1,10,1,19.2,64
ABIBB,Anheuser-Busch InBev,12/31/2017 23:00,10/30/2017 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,58.65,6,0.6,2,0.2,5,0.5,9,0.9,5,0.5,7,0.7,10,1,9,0.9,8,0.8,8,0.8,27.6,69,6,1.5,4,0.6,4,0.6,7,1.05,8,1.2,8,1.2,18.45,61.5,4,0.8,3,0.6,6,2.4,2,0.2,2,0.2,12.6,42
ABIBB,Anheuser-Busch InBev,9/30/2017 23:00,8/3/2017 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,61.65,5,0.5,2,0.2,6,0.6,9,0.9,5,0.5,7,0.7,10,1,9,0.9,8,0.8,8,0.8,27.6,69,6,1.5,8,1.2,4,0.6,7,1.05,10,1.5,8,1.2,21.15,70.5,4,0.8,3,0.6,6,2.4,4,0.4,1,0.1,12.9,43
ABIBB,Anheuser-Busch InBev,6/30/2017 23:00,5/5/2017 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,61.35,5,0.5,2,0.2,6,0.6,9,0.9,5,0.5,7,0.7,10,1,9,0.9,8,0.8,8,0.8,27.6,69,6,1.5,6,0.9,4,0.6,8,1.2,7,1.05,8,1.2,19.35,64.5,3,0.6,4,0.8,6,2.4,5,0.5,5,0.5,14.4,48
ABIBB,Anheuser-Busch InBev,4/3/2017 7:46,3/3/2017 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,59,5,0.5,2,0.2,6,0.6,9,0.9,5,0.5,7,0.7,10,1,9,0.9,8,0.8,8,0.8,34.5,69,6,1.5,4,0.6,5,0.75,9,1.35,2,0.3,8,1.2,17.1,57,2,0.4,3,0.6,6,2.4,3,0.3,3,0.3,7.4,37
ABIBB,Anheuser-Busch InBev,12/31/2016 23:00,11/1/2016 0:00,Consumer & Industrial,Food and Beverage,Buy,Modest Overweight,60.2,4,0.4,1,0.1,5,0.5,9,0.9,5,0.5,7,0.7,10,1,6,0.6,8,0.8,10,1,26,65,6,1.5,4,0.6,4,0.6,4,0.6,6,0.9,8,1.2,16.2,54,6,1.2,4,0.8,7,2.8,,,6,1.2,18,60
ABIBB,Anheuser-Busch InBev,9/30/2016 23:00,8/1/2016 0:00,Consumer & Industrial,Food and Beverage,Buy,Modest Overweight,63.35,4,0.4,1,0.1,5,0.5,9,0.9,5,0.5,7,0.7,10,1,6,0.6,8,0.8,10,1,32.5,65,5,1.25,10,1.5,4,0.6,2,0.3,6,0.9,8,1.2,17.25,57.5,6,1.2,4,0.8,9,3.6,,,6,1.2,13.6,68
ABIBB,Anheuser-Busch InBev,6/30/2016 23:01,5/4/2016 0:00,Consumer & Industrial,Food and Beverage,Buy,Modest Overweight,62.45,4,0.4,1,0.1,5,0.5,8,0.8,3,0.3,7,0.7,10,1,6,0.6,8,0.8,9,0.9,30.5,61,5,1.25,10,1.5,4,0.6,8,1.2,6,0.9,8,1.2,19.95,66.5,6,1.5,4,1,8,2,,,6,1.5,12,60
ABIBB,Anheuser-Busch InBev,3/31/2016 23:01,3/1/2016 0:00,Consumer & Industrial,Food and Beverage,Buy,Modest Overweight,57.4,4,0.4,1,0.1,5,0.5,8,0.8,3,0.3,7,0.7,10,1,6,0.6,8,0.8,9,0.9,30.5,61,5,1.25,10,1.5,4,0.6,2,0.3,3,0.45,8,1.2,15.9,53,3,0.75,3,0.75,10,2.5,,,6,1.5,11,55
ABIBB,Anheuser-Busch InBev,12/31/2015 23:01,11/12/2015 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,47.8,4,0.4,1,0.1,5,0.5,8,0.8,3,0.3,5,0.5,10,1,7,0.7,8,0.8,9,0.9,30,60,4,1,1,0.15,2,0.3,3,0.45,2,0.3,6,0.9,9.3,31,2,0.5,5,1.25,4,1,,,6,1.5,8.5,42.5
ABIBB,Anheuser-Busch InBev,9/30/2015 23:00,8/10/2015 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,49.4,4,0.4,6,0.6,5,0.5,8,0.8,4,0.4,5,0.5,9,0.9,7,0.7,8,0.8,9,0.9,26,65,1,0.25,4,0.6,6,0.9,7,1.05,4,0.6,6,0.9,12.9,43,6,1.5,2,0.5,2,0.5,,,4,1,10.5,35
ABIBB,Anheuser-Busch InBev,6/30/2015 23:01,5/8/2015 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,52.25,4,0.4,6,0.6,5,0.5,8,0.8,4,0.4,5,0.5,9,0.9,7,0.7,8,0.8,9,0.9,26,65,1,0.25,4,0.6,6,0.9,7,1.05,7,1.05,6,0.9,14.25,47.5,7,1.75,3,0.75,2,0.5,,,4,1,12,40
ABIBB,Anheuser-Busch InBev,3/31/2015 23:00,2/26/2015 0:00,Consumer & Industrial,Food and Beverage,Underperform,Neutral,47.45,4,0.4,6,0.6,5,0.5,8,0.8,4,0.4,5,0.5,9,0.9,7,0.7,8,0.8,9,0.9,26,65,1,0.25,4,0.6,6,0.9,6,0.9,4,0.6,6,0.9,12.45,41.5,2,0.5,3,0.75,2,0.5,,,5,1.25,9,30
ABIBB,Anheuser-Busch InBev,12/31/2014 23:01,10/31/2014 0:00,Consumer & Industrial,Food and Beverage,Underperform,Modest Overweight,54.25,6,0.6,6,0.6,5,0.5,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,28,70,1,0.25,4,0.6,6,0.9,3,0.45,6,0.9,6,0.9,12,40,7,1.75,4,1,2,0.5,,,6,1.5,14.25,47.5
ABIBB,Anheuser-Busch InBev,9/30/2014 23:00,8/1/2014 0:00,Consumer & Industrial,Food and Beverage,Underperform,Modest Overweight,57.85,6,0.6,6,0.6,5,0.5,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,28,70,3,0.75,8,1.2,6,0.9,6,0.9,7,1.05,6,0.9,17.1,57,6,1.5,3,0.75,4,1,,,4,1,12.75,42.5
ABIBB,Anheuser-Busch InBev,6/30/2014 23:00,5/7/2014 0:00,Consumer & Industrial,Food and Beverage,Neutral,Modest Overweight,63.2,7,0.7,6,0.6,5,0.5,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,28.4,71,8,2,8,1.2,6,0.9,7,1.05,7,1.05,6,0.9,21.3,71,6,1.5,3,0.75,5,1.25,,,4,1,13.5,45
ABIBB,Anheuser-Busch InBev,3/31/2014 23:00,2/26/2014 0:00,Consumer & Industrial,Food and Beverage,Neutral,Modest Overweight,61.35,7,0.7,6,0.6,6,0.6,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,28.8,72,8,1.2,8,1.2,6,0.9,6,1.5,6,0.9,6,0.9,19.8,66,6,1.5,2,0.5,5,1.25,,,4,1,12.75,42.5
ABIBB,Anheuser-Busch InBev,12/31/2013 23:00,11/4/2013 0:00,Consumer & Industrial,Food and Beverage,Neutral,Modest Overweight,57.8,5,0.5,7,0.7,6,0.6,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,28.4,71,9,1.35,4,0.6,6,0.9,6,1.5,7,1.05,6,0.9,18.9,63,4,1,1,0.25,5,1.25,,,4,1,10.5,35
ABIBB,Anheuser-Busch InBev,10/1/2013 9:21,7/31/2013 0:00,Consumer & Industrial,Food and Beverage,Neutral,Modest Overweight,61.15,7,0.7,7,0.7,6,0.6,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,29.2,73,9,1.35,9,1.35,6,0.9,7,1.75,6,0.9,6,0.9,21.45,71.5,4,1,1,0.25,5,1.25,,,4,1,10.5,35
ABIBB,Anheuser-Busch InBev,6/30/2013 23:01,6/11/2013 0:00,Consumer & Industrial,Food and Beverage,Outperform,Modest Overweight,66.4,7,0.7,7,0.7,6,0.6,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,29.2,73,9,1.35,9,1.35,6,0.9,6,1.5,7,1.05,6,0.9,28.2,70.5,6,1.5,2,0.5,6,1.5,,,4,1,9,45
ABIBB,Anheuser-Busch InBev,3/31/2013 23:00,2/28/2013 0:00,Consumer & Industrial,Food and Beverage,Overweight,Modest Overweight,60.8,7,0.7,7,0.7,7,0.7,9,0.9,4,0.4,7,0.7,9,0.9,7,0.7,8,0.8,9,0.9,29.6,74,9,1.35,9,1.35,6,0.9,2,0.5,6,0.9,6,0.9,17.7,59,6,1.5,2,0.5,6,1.5,,,4,1,13.5,45
ABIBB,Anheuser-Busch InBev,12/31/2012 23:00,8/1/2012 0:00,Consumer & Industrial,Food and Beverage,Overweight,Modest Overweight,60.875,6,0.6,7,0.7,7,0.7,6,0.6,4,0.4,7,0.7,8,0.8,6,0.6,8,0.8,9,0.9,27.2,68,9,1.35,9,1.35,6,0.9,2,0.5,4,0.6,6,0.9,16.8,56,9,2.25,3,0.75,6.5,1.625,,,4,1,16.875,56.25
ABIBB,Anheuser-Busch InBev,9/30/2012 23:00,8/1/2012 0:00,Consumer & Industrial,Food and Beverage,Overweight,Modest Overweight,60.875,6,0.6,7,0.7,7,0.7,6,0.6,4,0.4,7,0.7,8,0.8,6,0.6,8,0.8,9,0.9,27.2,68,9,1.35,9,1.35,6,0.9,2,0.5,4,0.6,6,0.9,16.8,56,9,2.25,3,0.75,6.5,1.625,,,4,1,16.875,56.25
ABIBB,Anheuser-Busch InBev,6/30/2012 23:00,5/4/2012 0:00,Consumer & Industrial,Food and Beverage,Neutral,Modest Overweight,64,6,0.6,7,0.7,7,0.7,6,0.6,4,0.4,7,0.7,8,0.8,7,0.7,8,0.8,9,0.9,27.6,69,6,0.9,6,0.9,6,0.9,6,1.5,10,1.5,6,0.9,26.4,66,6,1.5,4,1,5,1.25,,,5,1.25,10,50
AMT,American Tower Corp,3/31/2018 23:00,12/5/2017 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,55.75,9,0.9,2,0.2,7,0.7,7,0.7,6,0.6,6,0.6,9,0.9,7,0.7,6,0.6,8,0.8,26.8,67,6,1.5,5,0.75,5,0.75,1,0.15,9,1.35,5,0.75,15.75,52.5,4,0.8,4,0.8,6,2.4,3,0.3,1,0.1,13.2,44
AMT,American Tower Corp,12/31/2017 23:00,12/5/2017 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,55.75,9,0.9,2,0.2,7,0.7,7,0.7,6,0.6,6,0.6,9,0.9,7,0.7,6,0.6,8,0.8,26.8,67,6,1.5,5,0.75,5,0.75,1,0.15,9,1.35,5,0.75,15.75,52.5,4,0.8,4,0.8,6,2.4,3,0.3,1,0.1,13.2,44
AMT,American Tower Corp,9/30/2017 23:00,3/30/2017 0:00,Consumer & Industrial,Wireless,Neutral,Neutral,52.65,9,0.9,1,0.1,6,0.6,5,0.5,5,0.5,5,0.5,9,0.9,7,0.7,5,0.5,8,0.8,24,60,4,1,4,0.6,3,0.45,9,1.35,9,1.35,4,0.6,16.05,53.5,4,0.8,6,1.2,2,0.8,6,0.6,8,0.8,12.6,42
AMT,American Tower Corp,6/30/2017 23:00,3/30/2017 0:00,Consumer & Industrial,Wireless,Neutral,Neutral,52.65,9,0.9,1,0.1,6,0.6,5,0.5,5,0.5,5,0.5,9,0.9,7,0.7,5,0.5,8,0.8,24,60,4,1,4,0.6,3,0.45,9,1.35,9,1.35,4,0.6,16.05,53.5,4,0.8,6,1.2,2,0.8,6,0.6,8,0.8,12.6,42
AMT,American Tower Corp,4/3/2017 7:46,3/30/2017 0:00,Consumer & Industrial,Wireless,Neutral,Neutral,53.25,9,0.9,1,0.1,6,0.6,5,0.5,5,0.5,5,0.5,9,0.9,7,0.7,5,0.5,8,0.8,30,60,4,1,4,0.6,3,0.45,9,1.35,9,1.35,4,0.6,16.05,53.5,4,0.8,6,1.2,2,0.8,6,0.6,8,0.8,7.2,36
AMT,American Tower Corp,12/31/2016 23:00,3/31/2016 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,54.6,9,0.9,2,0.2,8,0.8,7,0.7,5,0.5,8,0.8,9,0.9,8,0.8,2,0.2,8,0.8,26.4,66,4,1,4,0.6,3,0.45,6,0.9,2,0.3,5,0.75,12,40,6,1.2,6,1.2,5,2,,,5,1,16.2,54
AMT,American Tower Corp,9/30/2016 23:01,3/31/2016 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,55.8,9,0.9,2,0.2,8,0.8,7,0.7,5,0.5,8,0.8,9,0.9,8,0.8,2,0.2,8,0.8,33,66,4,1,4,0.6,3,0.45,6,0.9,2,0.3,5,0.75,12,40,6,1.2,6,1.2,5,2,,,5,1,10.8,54
AMT,American Tower Corp,6/30/2016 23:01,3/31/2016 0:00,Consumer & Industrial,Wireless,Neutral,Modest Overweight,56,9,0.9,2,0.2,8,0.8,7,0.7,5,0.5,8,0.8,9,0.9,8,0.8,2,0.2,8,0.8,33,66,4,1,4,0.6,3,0.45,6,0.9,2,0.3,5,0.75,12,40,6,1.5,6,1.5,5,1.25,,,5,1.25,11,55
