,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/29/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/30/2018,4/30/2018,5/31/2018
A,171.6959129,163.8388707,167.2396542,149.2560842,133.1898199,172.9699519,210.1825076,174.9354047,170.2950061,165.2673877,163.1960516,170.363242,171.5211023,161.3304441,155.3957803,146.9481929,140.3067343,133.9864962,139.8793404,134.0046558,180.0323283,215.5617505,193.9909531,214.3239716,196.0698458,180.464196,148.615359,137.8048005,151.4317515,144.7548574,144.6596479,151.7268491,159.6278782,137.5306305,117.776819,133.9970092,130.4660772,134.8400133,129.0169504,126.4486734,130.312519,130.3683711,155.7677979,140.7794859,139.0673124,131.9702401,135.1947266,134.280648,125.0123407,120.0813857,119.9022309,102.7972263,98.80406422,100.9824004,103.6367999,112.0867725,116.7198086,116.6297686,140.0182966,143.4631508,156.7545821,160.1829936,155.1187994,159.5249886,154.204794,150.4827238,155.2611203,161.3943559,167.0360757,176.2097776,187.7585655,187.1689339,188.920154,184.3308263,172.9584771,145.6156588,143.5516283,136.8922547,155.4728456,140.1677767,133.0891592,119.7373193,113.7592689,110.7723273,113.3521445,102.7959478,102.5444649,104.2277296,103.2840684,99.07238167,97.08961993,97.18960661,101.244929,94.83729935,82.73316418,81.26213072,77.73839491,74.0777413,78.64598933,89.40604206,86.89568084,92.7330894
AA,243.8531985,284.4598317,323.2938259,256.1855595,241.2850419,334.2656749,357.267619,292.2378353,327.3467495,302.7393994,265.5996958,276.1456633,229.824824,197.5241719,177.6732668,181.7720851,174.8382282,199.357906,224.8413015,218.438068,334.4903995,396.451692,344.3684164,397.340428,360.2822006,311.0736262,296.7209765,290.9439042,300.0448801,339.945151,361.3325765,354.8916034,353.9796147,330.4340839,328.4948025,320.3214918,343.0574094,315.4472555,304.9398821,320.8866189,325.9173879,322.8528364,362.9699121,337.5823046,324.2006262,334.3392084,294.4485646,280.6363794,252.8229125,252.1317107,232.5386979,222.8622258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.6146023,168.0656351,152.7968245,144.6661316,145.2157169,152.0244928,139.9964605,127.8097499,150.5195578,149.2243463,168.0864182,174.5230749,168.4039248,200.4369886,133.9568603,163.2306016,136.4212958,162.9086958,184.054562,187.1770849,183.3502123,187.6636834,176.8664586,167.7645905,170.8464617,210.8916022,212.5329507,199.2743603,178.3181079,154.2437843,163.8006396,145.7669751,135.0735909,140.6505344,122.202396,122.4359594,133.7462699,134.199152,130.0442835,128.7049239,127.8422624,127.0865767,114.0981201,108.6957554,113.467631,98.81329571,93.47490053,94.685276,97.29983907,88.93343023,93.66697323,113.815982,107.9301471,115.3166947
AAP,,,,,,,,,,,194.532196,209.8681946,197.795105,188.2993011,179.4707947,182.5679016,184.3700104,191.8751068,196.3894958,178.2855988,248.3881989,270.808197,258.1373901,279.3395081,265.3049011,254.7601637,196.6816839,202.1725883,213.6237665,228.8623353,241.8349503,226.9718551,232.4958509,213.2108319,202.4478087,331.5743036,292.480109,265.4876052,271.4931175,271.9449248,277.3428849,272.1856597,290.8231549,264.7385503,250.531974,257.1303261,239.2159901,197.6125796,165.7709572,163.5552768,164.0353202,156.6494087,142.8224047,139.0104036,133.6190678,134.1680221,136.3290548,144.3906967,147.1033608,146.4736317,160.7647918,163.7041371,152.8758454,163.6873327,166.4454213,166.1348914,176.9664912,172.7603585,178.6304317,185.5249986,183.7157505,201.5566644,211.8659718,232.5303367,228.1249298,216.9258328,193.1505825,198.2870937,198.2558228,170.9750254,165.9722347,174.4134445,162.9089438,168.7073647,156.8996502,141.811712,130.4273844,127.2980229,122.7257513,120.2514783,119.3437963,113.0513704,127.6568369,125.7240072,119.8288442,113.5295808,106.097377,92.61881055,97.07273088,105.5278734,103.0753042,101.2767951
AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74921729,74.41238826,67.83158121,75.0773558,81.05469469,80.18959408,74.11977708,64.38615153,72.04263076,66.96514241,54.18967597,55.46424987,59.62376463,61.34412009,60.33082331,58.551782,64.22382794,64.73229807,62.65994728,61.54784557,59.68215703,59.3242641,69.62538028,71.76525514,81.34122555,83.84243757,92.78984644,95.14645761,94.70914242,76.92382515,71.03114578,71.80350098,97.52489887,100.1886447,85.79152146,80.93057131,86.48106983,94.41513712,86.59467033,80.67381745,83.5264994,83.96602221,76.61152082,70.10537541,76.15199341,66.78347588,68.81359271,64.43575068,68.31497336,66.23433626,60.68367199,66.68762943,56.64779525,53.46089036,55.89447995,52.98289967,50.38235876,56.30910567,63.48923902,59.86732906,61.2270812
ABBNVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0605394,119.6188289,100.8645633,101.940599,103.7193104,89.97664039,103.0790569,98.84535784,100.9897062,102.0573549,101.663443,99.2593744,102.7560418,114.2115313,102.5362456,104.9619983,105.1854143,91.53635,97.92435239,91.95292572,93.3876026,85.06242641,80.38652079,81.15137328,78.45427125,80.4181474,77.99791526,76.48525742,85.49496204,87.96610454,91.77439518,94.1126771,93.10341394,85.14884612,94.34837506,94.07952828,100.6606413,113.3641229,116.8021999,129.7196403,129.5539076,123.2086442,119.5861811,119.5148258,125.7259961,126.9956127,112.8419724,103.4051404,113.0644238,118.3029342,107.9518413,98.13298398,95.84638887,93.16803528,90.44550296,88.64396774,85.21647549,81.39080181,85.11098696,84.31523759,77.23995912,72.56884072,70.95694747,75.33053136,76.34870461,72.88655417,66.29348504,64.84009378,57.24511915,64.86899723,78.84496913,74.26927444,74.14957001
ABBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9240623,92.83744012,92.92914144,91.13385087,92.58366473,110.6582776,89.35962851,90.79001115,97.10570529,80.7749191,77.0722189,61.92038726,70.01649135,65.46919384,65.10470079,59.48055521,66.54354882,80.05081058,79.52107425,80.93635377,97.97447321,91.8555497,104.2711037,102.7191859,107.859723,94.4360894,118.4301241,113.1853921,123.7174796,128.4312203,145.5147344,149.0173813,152.9009259,150.5561622,130.6826632,133.6529312,152.8503285,159.8366621,126.6222614,120.733094,138.148066,148.8820721,131.7078066,125.3841716,132.7236213,135.7067414,137.9390654,129.5653179,128.614281,122.5683278,120.9485335,117.6342667,118.8271534,105.7905335,95.00415715,109.2307313,90.86574195,92.01745609,96.87965886,87.65422015,81.9287186,98.7750462,115.9683797,117.1942095,119.7978239
ABC,132.0216985,99.62975814,105.2161332,108.3162622,104.520824,110.7335325,152.7350722,148.6486693,172.5969397,155.9711417,150.9149622,144.6088687,156.7867101,124.5608415,118.01244,123.2273239,124.5069279,120.4508962,113.9335348,109.5120211,132.1767019,155.1544984,158.293091,160.3715523,147.8749256,143.5371642,100.3543272,99.02756236,107.305082,117.7796816,118.327138,109.6619045,114.0503714,111.2389371,89.58558092,93.2333695,93.72202528,99.54264357,97.61450251,97.56102825,96.37835679,101.6601306,113.2791426,93.77455007,101.9890694,105.403441,103.3980408,100.6293627,94.27296978,82.42534524,73.67356766,76.67932868,67.13918218,64.58011151,69.77677472,68.41542519,73.18279808,79.73112394,82.92822017,85.78619542,96.40602839,103.0349791,98.85262824,105.9334786,96.98072785,108.1272271,124.4482937,128.3632556,135.271784,135.3009858,138.7709728,133.6875906,136.3956089,139.5295108,147.7790966,124.8549981,118.5165121,120.4609001,133.0858714,115.8082873,107.2953817,108.1905688,113.2142379,109.1879412,104.9149822,104.4135621,98.25027943,95.80423907,95.31179599,96.04068282,91.7331847,87.25470122,92.03128374,84.33617177,86.4261342,102.2570416,107.698884,102.1707878,114.0040646,125.1316287,125.508318,134.1422896
ABIBB,135.9870163,133.0507702,121.0913139,110.3993153,109.9058127,144.8679069,145.559302,125.9242883,142.0468899,129.4234896,119.4788179,114.6880007,111.8846275,106.2604573,96.63948841,108.5039815,98.79601043,106.5423347,111.5797682,90.46523663,120.8924345,140.9138646,117.6234424,151.1566188,143.1504652,132.9806413,110.1143723,111.2600426,114.410663,128.6703081,136.5052821,96.64925618,97.98905538,87.63539088,74.17607205,92.00931156,89.36497479,89.35993003,92.92469964,93.33537175,88.97576943,91.92256017,101.8811446,91.51806419,90.42974183,89.77814766,84.22685246,85.6894973,79.19531998,77.08524945,75.29800978,74.01576812,72.04640685,74.21747755,80.17232995,76.57008544,74.31625699,102.480223,103.2733089,102.1889611,101.0151574,104.5800338,98.05295996,104.3713419,99.61371386,106.2247659,113.8115098,115.2928127,120.0353805,147.2446993,150.0370074,131.0784551,131.4157363,153.6226217,149.0445461,124.3773976,115.3968512,126.8066627,130.3932789,123.2752705,119.2146691,117.7935518,117.5518456,116.2726951,106.9724304,109.66737,101.7306722,106.5431962,103.7973308,100.4694135,93.86149391,86.55078727,95.14753158,83.48027713,84.39438446,85.56469345,80.44623309,78.85278658,95.54160185,104.8774302,109.3817555,115.9511843
ABT,71.13811828,75.3217351,73.34772431,64.73807759,54.27613113,87.19050463,78.6683978,76.73134794,87.41752215,89.06549481,89.08657023,83.11936303,77.45243446,74.22743387,72.73146083,75.18722114,77.49246632,78.18944196,81.90003179,70.17204085,102.4417683,101.7122799,96.08417556,124.8091763,114.3321652,102.092677,78.12156194,81.48690949,91.48464504,102.9321518,102.1370613,79.65140181,82.6428644,77.90805872,65.19739789,88.48730278,90.2647186,95.62977394,100.4113625,100.3760128,98.96288437,100.1563787,109.9835148,97.60761801,100.57791,104.1350257,104.301941,100.2975797,91.49190283,93.80701734,83.59792315,86.37023645,85.49769969,82.57043846,83.6029319,85.72293263,87.35115808,95.00455476,105.5169827,110.806192,115.9395744,117.90884,110.9342747,88.8218371,91.03659813,95.46799414,114.8567057,114.9546347,126.377293,129.8937474,108.6666805,107.9884154,108.2870219,117.6785279,145.9830111,116.0035173,136.9932794,135.9856831,139.2346262,123.7546625,120.4695875,118.8791725,118.6874208,137.6439163,129.8877184,135.6041053,127.0843533,124.7164911,124.5832791,118.5815644,108.4064778,98.85160408,110.573489,97.6870965,92.4037785,97.8228272,89.8735968,79.78450984,87.75559575,101.2460595,94.3293855,100.9239997
